,ï»¿id,scrape_id,host_id,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3919,42366245.0,20200000000000.0,69261219,100,1,1,37.71522,-122.44366,7,2.0,3.0,4.0,244.0,1,27,1.0,1.0,1125.0,1125.0,1.0,1125.0,23,45,67,335,43,43,1,4.93,4.86,4.98,4.91,4.93,4.84,4.86,1,1,0,0,3.83
3920,42403122.0,20200000000000.0,107434423,97,4774,5310,37.78589,-122.38965,4,2.0,2.0,2.0,217.0,31,1125,31.0,366.0,1125.0,1125.0,352.8,1125.0,0,0,0,260,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,138,138,0,0,1.3186045268223134
3921,42403169.0,20200000000000.0,107434423,97,4774,5310,37.78566,-122.38946,4,2.0,2.0,2.0,200.0,31,1125,31.0,366.0,1125.0,1125.0,354.2,1125.0,0,22,52,327,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,138,138,0,0,1.3186045268223134
3923,42414518.0,20200000000000.0,25120232,98,68,94,37.73191,-122.47984,5,2.0,2.0,2.0,250.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,30,60,90,132,98,31,0,4.84,4.87,4.92,4.95,4.95,4.91,4.73,2,2,0,0,2.95
3925,42429191.0,20200000000000.0,267895362,0,73,123,37.79302,-122.41848,2,5.0,1.0,1.8129401408450705,60.0,365,1125,365.0,365.0,1125.0,1125.0,365.0,1125.0,30,60,90,365,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,55,1,54,0,1.3186045268223134
3926,42429868.0,20200000000000.0,267895362,0,73,123,37.792,-122.41868,2,5.0,1.0,1.8129401408450705,60.0,365,1125,365.0,365.0,1125.0,1125.0,365.0,1125.0,30,60,90,365,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,55,1,54,0,1.3186045268223134
3930,42448700.0,20200000000000.0,107434423,97,4774,5310,37.772587,-122.393081,4,2.0,2.0,2.0,408.0,31,1125,360.0,360.0,1125.0,1125.0,360.0,1125.0,0,0,0,0,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,138,138,0,0,1.3186045268223134
3945,42541579.0,20200000000000.0,188970468,0,1,1,37.74045,-122.48726,2,2.0,2.0,2.0,130.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,0,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,1,0,1,0,1.3186045268223134
3953,42973015.0,20200000000000.0,709325,100,6,12,37.74758,-122.44562,6,2.0,3.0,3.0,193.0,30,60,30.0,30.0,60.0,60.0,30.0,60.0,5,35,62,280,1,0,0,2.0,3.0,2.0,4.0,5.0,3.0,2.0,5,5,0,0,0.04
3956,43054806.0,20200000000000.0,13694323,100,1,2,37.75749,-122.43647,4,2.0,3.0,3.0,395.0,30,160,30.0,30.0,160.0,160.0,30.0,160.0,0,0,0,156,9,2,0,5.0,5.0,5.0,5.0,5.0,4.89,4.89,1,1,0,0,0.28
