,id,scrape_id,host_id,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5350,30208864,20230329041210,101508636,99,20,20,19.4062,-99.17629,4,2.0,2.0,2.0,4077.0,1,365,1.0,2.0,365.0,1125.0,1.7,465.6,9,30,60,147,72,26,3,4.96,4.99,4.99,4.94,4.89,4.97,4.9,20,18,2,0,1.4
5353,30451905,20230329041210,213600139,100,2,3,19.43314,-99.08927,9,2.0,3.0,6.0,1086.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,9,31,61,328,319,98,7,4.82,4.9,4.83,4.92,4.93,4.88,4.83,2,2,0,0,6.41
5358,30859823,20230329041210,156455377,100,13,13,19.41313,-99.17817,2,2.0,1.0,1.0,461.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,24,54,84,359,251,57,7,4.55,4.67,4.64,4.84,4.83,4.93,4.57,13,1,12,0,4.81
5359,30452635,20230329041210,213600139,100,2,3,19.43384,-99.09019,8,2.0,3.0,5.0,873.0,1,30,1.0,1.0,1125.0,1125.0,1.0,1125.0,14,36,65,330,223,80,6,4.82,4.87,4.85,4.92,4.91,4.91,4.78,2,2,0,0,4.24
5365,30234775,20230329041210,27449159,96,78,81,19.36251,-99.28485,4,3.0,2.0,2.0,1838.0,2,365,2.0,4.0,1125.0,1125.0,3.3,1125.0,12,42,72,347,26,2,0,4.81,4.92,5.0,4.88,4.92,4.73,4.88,72,72,0,0,0.53
5373,30901456,20230329041210,230933405,97,6,6,19.41327,-99.17522,15,3.0,5.0,8.0,9544.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,20,49,79,169,86,16,0,4.37,4.45,4.22,4.65,4.6,4.84,4.38,6,1,5,0,1.66
5377,30911456,20230329041210,231008006,100,1,1,19.36211,-99.16145,5,2.0,2.0,3.0,968.0,2,30,3.0,3.0,1125.0,1125.0,3.0,1125.0,0,15,45,320,79,13,0,4.92,4.97,4.89,4.99,5.0,4.97,4.92,1,1,0,0,1.52
5382,30253088,20230329041210,208529350,0,2,10,19.40627,-99.16967,6,4.0,3.0,5.0,2543.0,2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,241,11,0,0,5.0,4.91,5.0,4.82,5.0,5.0,4.91,2,2,0,0,0.21
5386,30257679,20230329041210,156632464,100,4,4,19.43801,-99.19981,4,2.0,2.0,2.0,1860.0,1,1125,1.0,2.0,1125.0,1125.0,1.1,1125.0,22,52,55,55,157,42,7,4.93,4.98,4.85,4.96,5.0,4.98,4.87,4,4,0,0,2.99
5388,30923859,20230329041210,64117924,88,2,2,19.40615,-99.1692,2,2.0,1.0,1.0,457.0,2,15,2.0,2.0,1125.0,1125.0,2.0,1125.0,17,47,77,77,10,0,0,4.88,5.0,4.88,5.0,5.0,5.0,5.0,2,0,2,0,0.19
5389,30928323,20230329041210,68320131,0,2,4,19.4384,-99.15921,4,2.0,2.0,2.0,950.0,1,1125,1.0,2.0,1125.0,1125.0,1.3,1125.0,0,8,38,54,40,0,0,4.9,5.0,4.88,4.98,4.9,4.95,4.98,2,1,1,0,0.89
5391,30510937,20230329041210,100919179,100,1,1,19.29561,-99.13387,6,3.0,3.0,5.0,1200.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,26,55,292,40,1,1,4.97,4.95,4.92,4.97,5.0,5.0,4.95,1,1,0,0,0.78
5393,30513026,20230329041210,130639325,96,2,2,19.41512,-99.17014,4,2.0,2.0,2.0,2127.0,1,30,1.0,1.0,1125.0,1125.0,1.0,1125.0,7,29,52,122,57,9,5,4.91,5.0,5.0,4.96,4.93,4.98,4.93,1,1,0,0,1.16
5400,30531511,20230329041210,229100085,100,7,7,19.40191,-99.17972,8,2.0,3.0,5.0,1200.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,14,44,74,163,69,17,1,4.81,4.84,4.88,4.96,4.9,4.91,4.75,1,1,0,0,1.32
5403,30537235,20230329041210,229134231,89,1,4,19.43325,-99.18136,5,2.0,2.0,2.0,956.0,2,10,2.0,2.0,1125.0,1125.0,2.0,1125.0,12,40,43,43,105,44,2,4.54,4.64,4.63,4.91,4.87,4.84,4.54,1,1,0,0,2.13
5407,30958098,20230329041210,27449159,96,78,81,19.36251,-99.28485,4,2.0,2.0,3.0,1486.0,2,1125,2.0,4.0,1125.0,1125.0,3.3,1125.0,17,47,77,352,23,8,0,4.96,5.0,4.96,5.0,4.87,4.87,4.91,72,72,0,0,0.44
5415,30961955,20230329041210,225762170,96,2,4,19.35321,-99.24546,2,2.0,2.0,2.0,300.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,29,59,89,179,11,2,0,4.82,4.91,5.0,4.91,4.73,5.0,4.91,2,0,2,0,0.21
5418,30274570,20230329041210,120653693,96,3,5,19.39273,-99.17501,6,2.0,3.0,3.0,1590.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,0,13,0,0,5.0,5.0,5.0,4.85,4.92,5.0,5.0,2,2,0,0,0.71
5427,30289350,20230329041210,64092,0,1,1,19.40983,-99.16932,4,2.0,2.0,2.0,1945.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,0,149,20,0,0,4.85,4.95,5.0,5.0,5.0,5.0,4.9,1,1,0,0,0.39
5429,30998403,20230329041210,97457747,100,10,10,19.43637,-99.17881,4,2.0,2.0,2.0,3500.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,1,30,60,335,19,9,0,4.89,4.95,4.79,5.0,5.0,4.68,4.84,10,10,0,0,0.4
5431,30289360,20230329041210,212104868,100,16,17,19.20762,-99.12116,6,2.0,1.0,2.0,990.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,365,29,0,0,4.97,4.97,4.86,4.86,5.0,4.86,4.97,16,16,0,0,0.56
