,id,scrape_id,host_id,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
16882,6.67249e+17,20230300000000.0,66690256,70,12.0,42.0,41.9609,3.22768,7,3.0,3.0,5.0,305.0,5,365,5.0,5.0,365.0,365.0,5.0,365.0,30,60,90,313,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,12,12,0,0,0.5232000277238703
16883,6.71612e+17,20230300000000.0,400930351,96,5.0,5.0,42.13886,3.11682,3,2.0,1.0,2.0,91.0,4,20,2.0,7.0,20.0,20.0,3.5,20.0,23,44,62,194,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,5,5,0,0,0.5232000277238703
16885,6.76743e+17,20230300000000.0,204773412,56,6.0,11.0,41.81619,3.06694,6,3.0,3.0,4.0,400.0,7,69,7.0,7.0,69.0,69.0,7.0,69.0,30,60,90,90,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,6,6,0,0,0.5232000277238703
16894,6.67301e+17,20230300000000.0,9614198,96,24.0,41.0,41.7025319,2.8567432,6,2.0,2.0,3.0,145.0,2,1125,2.0,7.0,1125.0,1125.0,3.2,1125.0,0,0,29,93,4,4,0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,24,24,0,0,0.51
16895,6.67815e+17,20230300000000.0,819225,100,12.0,15.0,42.14829,3.02145,16,6.0,6.0,11.0,512.0,1,365,1.0,7.0,2.0,365.0,3.1,238.7,28,55,83,358,1,1,0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,12,12,0,0,0.13
16896,6.72195e+17,20230300000000.0,28978565,100,1.0,1.0,41.83136,3.04079,8,2.0,4.0,5.0,350.0,6,30,2.0,6.0,30.0,90.0,5.0,45.3,26,54,84,359,2,2,0,4.5,4.5,5.0,5.0,4.5,4.5,4.0,1,1,0,0,0.26
16897,6.72307e+17,20230300000000.0,113356954,100,129.0,358.0,42.3685,3.15837,4,2.0,2.0,2.0,112.0,1,365,1.0,14.0,365.0,365.0,4.9,365.0,0,0,29,122,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,118,118,0,0,0.5232000277238703
16899,6.72397e+17,20230300000000.0,28910511,88,1.0,3.0,42.37402,1.88745,8,2.0,4.0,6.0,191.0,2,45,2.0,2.0,45.0,45.0,2.0,45.0,24,54,84,84,9,9,1,4.89,4.78,4.89,5.0,5.0,5.0,4.56,1,1,0,0,1.21
16903,6.67883e+17,20230300000000.0,184343300,99,17.0,18.0,42.24945,3.11515,6,2.0,3.0,4.0,129.0,2,365,2.0,2.0,365.0,365.0,2.0,365.0,29,51,71,241,10,10,0,5.0,4.9,4.9,5.0,4.9,5.0,4.7,12,12,0,0,1.16
16904,6.68025e+17,20230300000000.0,420214931,98,52.0,56.0,42.3843,3.15583,6,3.0,3.0,6.0,265.0,1,1125,2.0,7.0,2.0,1125.0,4.2,174.7,0,16,46,321,3,3,0,5.0,4.33,5.0,4.33,4.33,4.67,4.67,35,35,0,0,0.38
16909,6.7729e+17,20230300000000.0,226870649,100,1.0,1.0,42.40850203,1.845420878,6,2.0,3.0,5.0,264.0,3,365,2.0,3.0,1125.0,1125.0,2.7,1125.0,20,50,80,338,1,1,0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1,1,0,0,0.43
16910,6.77424e+17,20230300000000.0,116980616,100,97.0,162.0,42.00855,3.19098,6,2.0,3.0,5.0,148.0,1,1125,4.0,14.0,7.0,1125.0,7.4,510.4,28,58,74,259,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,56,56,0,0,0.5232000277238703
16912,6.68062e+17,20230300000000.0,139366388,100,1.0,1.0,41.729165,2.5533092,7,2.0,3.0,5.0,145.0,2,7,2.0,2.0,1125.0,1125.0,2.0,1125.0,22,42,64,68,2,2,0,5.0,4.0,5.0,5.0,5.0,4.0,4.5,1,1,0,0,0.27
16913,6.77468e+17,20230300000000.0,152837544,91,1.0,1.0,42.017734,2.908408,10,4.0,5.0,5.0,500.0,3,365,3.0,4.0,365.0,365.0,3.1,365.0,30,60,87,337,5,5,0,5.0,5.0,5.0,5.0,4.8,4.6,5.0,1,1,0,0,0.64
16914,6.6807e+17,20230300000000.0,11268414,86,1.0,1.0,42.37689,2.41576,9,2.0,4.0,6.0,275.0,2,365,2.0,2.0,365.0,365.0,2.0,365.0,17,47,77,77,2,2,0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,1,1,0,0,0.4
16917,6.77517e+17,20230300000000.0,52868518,60,1.0,1.0,41.97011208,3.210345693,7,3.0,4.0,5.0,220.0,7,365,7.0,7.0,365.0,365.0,7.0,365.0,29,59,89,323,1,1,0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,1,1,0,0,0.14
16918,6.72913e+17,20230300000000.0,91359305,50,2.0,2.0,41.84842,3.12864,5,3.0,3.0,3.0,195.0,3,30,3.0,7.0,30.0,30.0,3.7,30.0,27,57,87,152,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,2,2,0,0,0.5232000277238703
16919,6.68468e+17,20230300000000.0,389605038,99,111.0,121.0,41.8348265,2.8094425,12,5.0,4.0,9.0,410.0,1,365,1.0,1.0,365.0,365.0,1.0,365.0,28,58,88,363,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,54,54,0,0,0.16
16921,6.68491e+17,20230300000000.0,468813369,67,1.0,1.0,42.19541,2.48239,4,2.0,2.0,3.0,191.0,3,120,3.0,4.0,120.0,120.0,3.0,120.0,1,1,11,12,2,2,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,1,1,0,0,0.26
16922,6.7312e+17,20230300000000.0,14388943,66,14.0,14.0,41.69716,2.82594,5,2.0,3.0,3.0,210.0,10,365,10.0,10.0,365.0,365.0,10.0,365.0,30,60,90,180,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,11,11,0,0,0.5232000277238703
16926,6.77893e+17,20230300000000.0,436594049,100,1.0,1.0,41.8387706,2.7899919,9,2.0,4.0,7.0,350.0,3,31,3.0,3.0,1125.0,1125.0,3.0,1125.0,8,8,37,207,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,1,1,0,0,0.5232000277238703
16927,6.7357e+17,20230300000000.0,24473511,97,54.0,94.0,42.13908,3.11513,6,2.0,3.0,5.0,269.0,2,365,1.0,7.0,365.0,365.0,3.2,365.0,28,58,80,223,3,3,0,5.0,5.0,5.0,5.0,4.67,5.0,4.67,54,54,0,0,0.38
16937,6.78115e+17,20230300000000.0,17377843,78,4.0,4.0,42.2123169,2.4234415,11,2.0,4.0,8.0,271.0,2,30,2.0,7.0,30.0,30.0,2.4,30.0,12,31,47,265,6,6,0,4.83,5.0,4.83,4.83,4.83,5.0,4.67,4,4,0,0,1.29
16938,6.73672e+17,20230300000000.0,248786280,89,2.0,4.0,42.11884,2.45969,6,2.0,3.0,4.0,162.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,25,52,82,266,2,2,0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,2,2,0,0,0.26
16946,6.78188e+17,20230300000000.0,62157470,93,1.0,1.0,41.98754,3.19398,6,2.0,3.0,5.0,80.0,2,365,2.0,7.0,365.0,365.0,3.1,365.0,21,47,77,196,8,8,0,4.75,4.63,4.75,4.75,4.63,5.0,4.75,1,1,0,0,1.12
16949,6.78722e+17,20230300000000.0,116995676,100,1.0,1.0,42.1086177,3.16908,6,2.0,3.0,3.0,85.0,4,28,3.0,7.0,14.0,1125.0,4.2,979.4,0,4,6,110,2,2,2,5.0,5.0,5.0,5.0,5.0,5.0,4.5,1,1,0,0,2.0
16951,6.78734e+17,20230300000000.0,116201807,100,38.0,69.0,41.70655,2.86257,9,2.0,4.0,8.0,600.0,5,365,3.0,5.0,365.0,365.0,4.8,365.0,0,0,0,14,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,36,36,0,0,0.5232000277238703
16952,6.68572e+17,20230300000000.0,468831474,100,1.0,1.0,41.84072,3.09195,6,2.0,3.0,6.0,300.0,2,31,2.0,7.0,30.0,1125.0,3.2,855.8,30,60,90,335,1,1,0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,1,1,0,0,0.13
16958,6.6872e+17,20230300000000.0,391085968,100,9.0,11.0,42.23388,2.6295,8,2.0,4.0,5.0,149.0,2,365,1.0,3.0,365.0,365.0,2.1,365.0,27,57,87,289,5,5,0,3.6,4.2,3.8,3.8,4.4,4.6,3.4,9,9,0,0,0.63
16959,6.73725e+17,20230300000000.0,158372384,100,1.0,2.0,41.81424,3.06742,6,2.0,3.0,10.0,264.0,3,1125,3.0,7.0,1125.0,1125.0,4.1,1125.0,5,26,37,279,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.2
16962,6.73763e+17,20230300000000.0,414144597,100,1.0,1.0,41.781598,3.031411171,4,2.0,2.0,2.0,260.0,5,15,5.0,5.0,15.0,15.0,5.0,15.0,0,0,0,150,5,5,0,5.0,5.0,4.8,5.0,5.0,5.0,5.0,1,1,0,0,0.63
16963,6.73774e+17,20230300000000.0,7223852,100,2.0,3.0,41.80458185,3.05543395,4,2.0,3.0,3.0,243.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,257,1,1,0,3.0,4.0,5.0,5.0,3.0,3.0,1.0,2,2,0,0,0.13
16966,6.78814e+17,20230300000000.0,471447732,100,1.0,1.0,42.03697,3.12604,5,2.0,3.0,4.0,120.0,2,30,2.0,2.0,30.0,30.0,2.0,30.0,30,55,74,302,5,5,0,5.0,5.0,5.0,5.0,5.0,4.8,4.8,1,1,0,0,0.62
16967,6.6882e+17,20230300000000.0,64264432,98,4.0,4.0,42.43302,1.92574,6,2.0,3.0,5.0,92.0,2,85,2.0,2.0,1125.0,1125.0,2.0,1125.0,20,50,73,144,18,18,1,4.5,4.61,4.5,4.56,4.61,4.72,4.5,4,4,0,0,2.26
16969,6.73783e+17,20230300000000.0,193947099,33,1.0,1.0,42.13599,3.1109,4,2.0,2.0,3.0,151.0,4,365,4.0,4.0,365.0,365.0,4.0,365.0,0,0,0,35,1,1,0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1,1,0,0,0.14
